Date,Time,TICKER,EXPIRY,STRIKE,C/P,SPOT,QTY,PRICE,TYPE,VOLUME,OI,PREMIUM,SECTOR,UNUSUAL,DTX,EVENTS
6/2/17,2017-06-02T18:00:09.263Z,SPY,6/30/17,244,Put,243.68,2000,2.62,SWEEP,3256,2107,524000,,FALSE,28,
6/2/17,2017-06-02T17:57:44.126Z,SPY,6/9/17,243,Put,243.72,800,0.65,SWEEP,26976,7291,52000,,FALSE,7,
6/2/17,2017-06-02T17:45:58.204Z,NKE,6/2/17,52.5,Call,52.6,734,0.20173,SWEEP,1102,322,14806,,FALSE,0,
6/2/17,2017-06-02T17:41:53.458Z,IPHI,10/17(M),40,Put,39.27,2000,4.875,BLOCK,2000,117,975000,,FALSE,866,
6/2/17,2017-06-02T17:39:10.333Z,MSFT,07/17(M),70,Call,70.82,883,2.37251,SWEEP,1847,42097,209492,,FALSE,774,
6/2/17,2017-06-02T17:38:41.091Z,CTSH,10/17(M),62.5,Call,66.95,844,6.4,SWEEP,844,220,540160,,FALSE,866,
6/2/17,2017-06-02T17:26:56.581Z,CZR,6/16/17,12,Call,12,751,0.399467,SWEEP,922,3435,29999,,FALSE,14,
6/2/17,2017-06-02T17:25:37.887Z,CAT,09/17(M),100,Put,106.04,1618,2.8596,SWEEP,1722,22,462683,,FALSE,836,
6/2/17,2017-06-02T17:20:20.487Z,GDX,6/9/17,23,Call,22.85,2222,0.3,SWEEP,3136,3069,66660,,FALSE,7,
6/2/17,2017-06-02T17:16:22.086Z,SLB,7/7/17,63.5,Put,68.32,2323,0.379686,SWEEP,2323,0,88201,,FALSE,35,
6/2/17,2017-06-02T17:16:22.087Z,SLB,7/7/17,64,Put,68.31,1032,0.440078,SWEEP,1032,4,45416,,FALSE,35,
6/2/17,2017-06-02T17:01:35.038Z,RRC,07/17(M),23,Call,22.49,838,1.1,SWEEP,843,123,92180,,FALSE,774,
6/2/17,2017-06-02T17:01:34.546Z,AER,07/17(M),47.5,Call,44.9,1000,0.55,SWEEP,1000,1737,55000,,FALSE,774,
6/2/17,2017-06-02T16:59:45.503Z,CHK,6/9/17,5,Call,5,1000,0.15739,SWEEP,1125,1485,15739,,FALSE,7,
6/2/17,2017-06-02T16:55:22.988Z,P,6/9/17,10,Call,9.22,3511,0.334101,SWEEP,3611,2090,117302,,TRUE,7,
6/2/17,2017-06-02T16:55:06.475Z,JPM,6/9/17,81.5,Put,82.44,1071,0.49,SWEEP,2778,588,52479,,FALSE,7,
6/2/17,2017-06-02T16:51:50.845Z,RH,1/18/19,70,Call,42.6,741,2.75,SWEEP,742,5432,203775,,FALSE,595,
6/2/17,2017-06-02T16:48:52.269Z,PF,6/16/17,60,Call,60.89,849,1.5,BLOCK,853,2100,127350,,FALSE,14,
6/2/17,2017-06-02T16:48:07.421Z,GE,6/30/17,28.5,Call,27.86,3500,0.18,SWEEP,3500,835,63000,,FALSE,28,
6/2/17,2017-06-02T16:42:35.385Z,BCS,6/16/17,11,Call,10.8,1500,0.2,SWEEP,1500,2973,30000,,FALSE,14,
6/2/17,2017-06-02T16:37:39.689Z,RH,6/16/17,50,Put,43.2,881,7,SWEEP,1123,1428,616700,,TRUE,14,
6/2/17,2017-06-02T16:37:35.312Z,IMAX,6/16/17,27,Call,26.3,815,0.65,SWEEP,815,1308,52975,,FALSE,14,
6/2/17,2017-06-02T16:37:29.892Z,PBR,6/16/17,8.5,Put,8.36,3000,0.37,BLOCK,3000,5804,111000,,FALSE,14,
6/2/17,2017-06-02T16:32:49.803Z,WMT,07/17(M),80,Call,79.76,1000,1.52969,SWEEP,1061,22626,152969,,FALSE,774,
6/2/17,2017-06-02T16:32:07.882Z,SPY,6/9/17,243,Put,243.46,1682,0.8,SWEEP,14555,7291,134560,,FALSE,7,
6/2/17,2017-06-02T16:31:37.783Z,BAC,07/17(M),21,Put,22.17,2000,0.35,SWEEP,2010,52100,70000,,FALSE,774,
6/2/17,2017-06-02T16:31:22.362Z,QQQ,6/9/17,142,Put,142.27,3022,0.667118,SWEEP,3024,1113,201603,,FALSE,7,
